1402409078463,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:58",-67
1402409078463,"utrecht3515","84:9c:a6:63:e0:86",-70
1402409078463,"SpeedTouch367917","00:18:f6:67:52:c6",-74
1402409078463,"Vlinder","84:9c:a6:b4:da:52",-81
1402409078463,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:59",-84
1402409078463,"Mr-Brown","7a:cb:a8:62:76:bc",-87
1402409078464,"ARJANHUIJZER-PC_Network-2.4G","c4:3d:c7:91:0d:6e",-86
1402409078464,"CORRYHENK","00:18:f6:ec:07:28",-88
1402409078464,"Ziggo","ea:40:f2:94:28:dc",-79
1402409078464,"Duvel","e8:40:f2:94:28:db",-80
1402409078464,"FRITZ!Box Fon WLAN 7360","c0:25:06:5a:ed:46",-86
1402409078464,"Tele2modem-internet","00:23:54:85:fd:ca",-88
1402409078464,"H220N8068C4","fc:c8:97:80:68:c4",-87
1402409078465,"Mineel","5c:96:9d:66:3e:31",-90
1402409078465,"FRITZ!Box Guest Access","c6:25:06:5a:ed:46",-84
1402409078465,"HG655D-8561AB","82:b6:86:85:61:a8",-89
1402409078465,"SitecomA1834C","00:0c:f6:a1:83:4c",-81
1402409078466,"ARJANHUIJZER-PC_Network","c4:3d:c7:91:0d:70",-98
1402409078466,"Zy_private_E4XHWM","fc:f5:28:92:d1:cc",-92
1402409078470,"starthere","e0:91:f5:57:be:9e",-89
1402409078471,"Online gast","ba:8d:12:62:61:46",-88
1402409078471,"Online","b8:8d:12:62:61:45",-88
1402409078471,"StLucia","b8:62:1f:50:f9:46",-92
1402409078471,"Ziggo","72:18:8b:9c:32:dc",-82
1402409078472,"Ziggo60CCB","70:18:8b:9c:32:db",-83
1402409079481,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:58",-57
1402409079481,"utrecht3515","84:9c:a6:63:e0:86",-74
1402409079481,"SpeedTouch367917","00:18:f6:67:52:c6",-67
1402409079481,"Vlinder","84:9c:a6:b4:da:52",-81
1402409079482,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:59",-85
1402409079482,"Mr-Brown","7a:cb:a8:62:76:bc",-92
1402409079482,"ARJANHUIJZER-PC_Network-2.4G","c4:3d:c7:91:0d:6e",-86
1402409079482,"CORRYHENK","00:18:f6:ec:07:28",-88
1402409079482,"Ziggo","ea:40:f2:94:28:dc",-79
1402409079482,"Duvel","e8:40:f2:94:28:db",-80
1402409079482,"FRITZ!Box Fon WLAN 7360","c0:25:06:5a:ed:46",-84
1402409079482,"Tele2modem-internet","00:23:54:85:fd:ca",-85
1402409079483,"H220N8068C4","fc:c8:97:80:68:c4",-87
1402409079483,"Mineel","5c:96:9d:66:3e:31",-90
1402409079483,"FRITZ!Box Guest Access","c6:25:06:5a:ed:46",-87
1402409079483,"HG655D-8561AB","82:b6:86:85:61:a8",-89
1402409079483,"SitecomA1834C","00:0c:f6:a1:83:4c",-81
1402409079484,"ARJANHUIJZER-PC_Network","c4:3d:c7:91:0d:70",-98
1402409079484,"Zy_private_E4XHWM","fc:f5:28:92:d1:cc",-85
1402409079484,"starthere","e0:91:f5:57:be:9e",-87
1402409079484,"Online gast","ba:8d:12:62:61:46",-88
1402409079484,"Online","b8:8d:12:62:61:45",-88
1402409079485,"StLucia","b8:62:1f:50:f9:46",-92
1402409079485,"Ziggo","72:18:8b:9c:32:dc",-82
1402409079488,"Ziggo60CCB","70:18:8b:9c:32:db",-83
1402409080497,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:58",-64
1402409080497,"utrecht3515","84:9c:a6:63:e0:86",-74
1402409080498,"SpeedTouch367917","00:18:f6:67:52:c6",-63
1402409080498,"Vlinder","84:9c:a6:b4:da:52",-81
1402409080498,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:59",-84
1402409080498,"Mr-Brown","7a:cb:a8:62:76:bc",-90
1402409080498,"ARJANHUIJZER-PC_Network-2.4G","c4:3d:c7:91:0d:6e",-84
1402409080498,"CORRYHENK","00:18:f6:ec:07:28",-88
1402409080498,"Ziggo","ea:40:f2:94:28:dc",-88
1402409080498,"Duvel","e8:40:f2:94:28:db",-87
1402409080499,"FRITZ!Box Fon WLAN 7360","c0:25:06:5a:ed:46",-84
1402409080499,"Tele2modem-internet","00:23:54:85:fd:ca",-85
1402409080499,"H220N8068C4","fc:c8:97:80:68:c4",-87
1402409080499,"Mineel","5c:96:9d:66:3e:31",-90
1402409080499,"FRITZ!Box Guest Access","c6:25:06:5a:ed:46",-87
1402409080501,"HG655D-8561AB","82:b6:86:85:61:a8",-89
1402409080519,"SitecomA1834C","00:0c:f6:a1:83:4c",-81
1402409080520,"Zy_private_E4XHWM","fc:f5:28:92:d1:cc",-85
1402409080520,"starthere","e0:91:f5:57:be:9e",-88
1402409080520,"Online gast","ba:8d:12:62:61:46",-88
1402409080520,"Online","b8:8d:12:62:61:45",-88
1402409080520,"StLucia","b8:62:1f:50:f9:46",-92
1402409080520,"Ziggo","72:18:8b:9c:32:dc",-88
1402409080520,"Ziggo60CCB","70:18:8b:9c:32:db",-83
1402409081543,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:58",-64
1402409081545,"utrecht3515","84:9c:a6:63:e0:86",-74
1402409081545,"SpeedTouch367917","00:18:f6:67:52:c6",-60
1402409081572,"Vlinder","84:9c:a6:b4:da:52",-84
1402409081572,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:59",-85
1402409081572,"Mr-Brown","7a:cb:a8:62:76:bc",-90
1402409081572,"ARJANHUIJZER-PC_Network-2.4G","c4:3d:c7:91:0d:6e",-84
1402409081572,"CORRYHENK","00:18:f6:ec:07:28",-88
1402409081573,"Ziggo","ea:40:f2:94:28:dc",-88
1402409081573,"Duvel","e8:40:f2:94:28:db",-87
1402409081573,"FRITZ!Box Fon WLAN 7360","c0:25:06:5a:ed:46",-84
1402409081573,"Tele2modem-internet","00:23:54:85:fd:ca",-85
1402409081573,"FRITZ!Box Guest Access","c6:25:06:5a:ed:46",-87
1402409081573,"HG655D-8561AB","82:b6:86:85:61:a8",-89
1402409081595,"SitecomA1834C","00:0c:f6:a1:83:4c",-86
1402409081595,"Zy_private_E4XHWM","fc:f5:28:92:d1:cc",-86
1402409081595,"starthere","e0:91:f5:57:be:9e",-88
1402409081595,"Online gast","ba:8d:12:62:61:46",-88
1402409081595,"Ziggo","72:18:8b:9c:32:dc",-88
1402409081595,"Ziggo60CCB","70:18:8b:9c:32:db",-83
1402409081596,"chmwidor","98:fc:11:6f:06:8a",-88
1402409082602,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:58",-76
1402409082652,"utrecht3515","84:9c:a6:63:e0:86",-77
1402409082652,"SpeedTouch367917","00:18:f6:67:52:c6",-64
1402409082653,"Vlinder","84:9c:a6:b4:da:52",-78
1402409082653,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:59",-86
1402409082653,"Mr-Brown","7a:cb:a8:62:76:bc",-90
1402409082654,"ARJANHUIJZER-PC_Network-2.4G","c4:3d:c7:91:0d:6e",-84
1402409082654,"Ziggo","ea:40:f2:94:28:dc",-88
1402409082654,"Duvel","e8:40:f2:94:28:db",-79
1402409082674,"FRITZ!Box Fon WLAN 7360","c0:25:06:5a:ed:46",-84
1402409082674,"Tele2modem-internet","00:23:54:85:fd:ca",-85
1402409082674,"FRITZ!Box Guest Access","c6:25:06:5a:ed:46",-86
1402409082674,"SitecomA1834C","00:0c:f6:a1:83:4c",-86
1402409082674,"Zy_private_E4XHWM","fc:f5:28:92:d1:cc",-81
1402409082674,"starthere","e0:91:f5:57:be:9e",-88
1402409082674,"Ziggo","72:18:8b:9c:32:dc",-87
1402409082674,"Ziggo60CCB","70:18:8b:9c:32:db",-85
1402409082687,"chmwidor","98:fc:11:6f:06:8a",-88
1402409083706,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:58",-68
1402409083707,"utrecht3515","84:9c:a6:63:e0:86",-77
1402409083708,"SpeedTouch367917","00:18:f6:67:52:c6",-70
1402409083708,"Vlinder","84:9c:a6:b4:da:52",-78
1402409083708,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:59",-87
1402409083756,"Mr-Brown","7a:cb:a8:62:76:bc",-90
1402409083757,"ARJANHUIJZER-PC_Network-2.4G","c4:3d:c7:91:0d:6e",-84
1402409083757,"Ziggo","ea:40:f2:94:28:dc",-88
1402409083757,"Duvel","e8:40:f2:94:28:db",-79
1402409083758,"FRITZ!Box Fon WLAN 7360","c0:25:06:5a:ed:46",-83
1402409083758,"Tele2modem-internet","00:23:54:85:fd:ca",-85
1402409083788,"FRITZ!Box Guest Access","c6:25:06:5a:ed:46",-83
1402409083788,"SitecomA1834C","00:0c:f6:a1:83:4c",-86
1402409083789,"Zy_private_E4XHWM","fc:f5:28:92:d1:cc",-89
1402409083789,"starthere","e0:91:f5:57:be:9e",-90
1402409083789,"Ziggo","72:18:8b:9c:32:dc",-87
1402409083789,"Ziggo60CCB","70:18:8b:9c:32:db",-85
1402409083801,"chmwidor","98:fc:11:6f:06:8a",-88
1402409083801,"StLucia","b8:62:1f:50:f9:46",-87
1402409083802,"Biomineral","08:96:d7:30:55:10",-90
1402409084822,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:58",-70
1402409084824,"utrecht3515","84:9c:a6:63:e0:86",-74
1402409084865,"SpeedTouch367917","00:18:f6:67:52:c6",-69
1402409084865,"Vlinder","84:9c:a6:b4:da:52",-78
1402409084865,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:59",-86
1402409084866,"Mr-Brown","7a:cb:a8:62:76:bc",-89
1402409084866,"ARJANHUIJZER-PC_Network-2.4G","c4:3d:c7:91:0d:6e",-84
1402409084866,"Ziggo","ea:40:f2:94:28:dc",-88
1402409084879,"Duvel","e8:40:f2:94:28:db",-79
1402409084879,"FRITZ!Box Fon WLAN 7360","c0:25:06:5a:ed:46",-83
1402409084879,"Tele2modem-internet","00:23:54:85:fd:ca",-89
1402409084879,"FRITZ!Box Guest Access","c6:25:06:5a:ed:46",-84
1402409084879,"SitecomA1834C","00:0c:f6:a1:83:4c",-86
1402409084891,"Zy_private_E4XHWM","fc:f5:28:92:d1:cc",-85
1402409084891,"starthere","e0:91:f5:57:be:9e",-90
1402409084891,"Ziggo","72:18:8b:9c:32:dc",-87
1402409084891,"Ziggo60CCB","70:18:8b:9c:32:db",-85
1402409084892,"chmwidor","98:fc:11:6f:06:8a",-88
1402409084904,"StLucia","b8:62:1f:50:f9:46",-90
1402409084904,"Biomineral","08:96:d7:30:55:10",-90
1402409084904,"Westdijk Web","00:0c:f6:a0:b8:4c",-85
1402409084904,"HG655D-8561AB","82:b6:86:85:61:a8",-92
1402409085940,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:58",-61
1402409085942,"utrecht3515","84:9c:a6:63:e0:86",-74
1402409085943,"SpeedTouch367917","00:18:f6:67:52:c6",-73
1402409085986,"Vlinder","84:9c:a6:b4:da:52",-77
1402409085986,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:59",-82
1402409085986,"Mr-Brown","7a:cb:a8:62:76:bc",-89
1402409085986,"ARJANHUIJZER-PC_Network-2.4G","c4:3d:c7:91:0d:6e",-83
1402409085998,"Ziggo","ea:40:f2:94:28:dc",-88
1402409085998,"Duvel","e8:40:f2:94:28:db",-79
1402409085998,"FRITZ!Box Fon WLAN 7360","c0:25:06:5a:ed:46",-87
1402409085999,"Tele2modem-internet","00:23:54:85:fd:ca",-88
1402409086011,"FRITZ!Box Guest Access","c6:25:06:5a:ed:46",-86
1402409086011,"SitecomA1834C","00:0c:f6:a1:83:4c",-81
1402409086011,"Zy_private_E4XHWM","fc:f5:28:92:d1:cc",-84
1402409086011,"starthere","e0:91:f5:57:be:9e",-90
1402409086024,"Ziggo","72:18:8b:9c:32:dc",-87
1402409086024,"Ziggo60CCB","70:18:8b:9c:32:db",-85
1402409086024,"chmwidor","98:fc:11:6f:06:8a",-88
1402409086024,"StLucia","b8:62:1f:50:f9:46",-90
1402409086037,"Biomineral","08:96:d7:30:55:10",-90
1402409086037,"Westdijk Web","00:0c:f6:a0:b8:4c",-85
1402409086037,"HG655D-8561AB","82:b6:86:85:61:a8",-92
1402409086049,"utrecht3515-2","00:25:9c:4d:02:50",-67
1402409086049,"Online gast","ba:8d:12:62:61:46",-87
1402409086049,"CORRYHENK","00:18:f6:ec:07:28",-89
1402409086050,"Mineel","5c:96:9d:66:3e:31",-90
1402409087070,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:58",-63
1402409087071,"utrecht3515","84:9c:a6:63:e0:86",-74
1402409087111,"SpeedTouch367917","00:18:f6:67:52:c6",-66
1402409087112,"Vlinder","84:9c:a6:b4:da:52",-81
1402409087112,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:59",-83
1402409087139,"Mr-Brown","7a:cb:a8:62:76:bc",-89
1402409087139,"ARJANHUIJZER-PC_Network-2.4G","c4:3d:c7:91:0d:6e",-83
1402409087139,"Duvel","e8:40:f2:94:28:db",-79
1402409087139,"FRITZ!Box Fon WLAN 7360","c0:25:06:5a:ed:46",-85
1402409087151,"Tele2modem-internet","00:23:54:85:fd:ca",-91
1402409087151,"FRITZ!Box Guest Access","c6:25:06:5a:ed:46",-86
1402409087151,"SitecomA1834C","00:0c:f6:a1:83:4c",-79
1402409087164,"Zy_private_E4XHWM","fc:f5:28:92:d1:cc",-84
1402409087164,"starthere","e0:91:f5:57:be:9e",-90
1402409087164,"Ziggo","72:18:8b:9c:32:dc",-87
1402409087164,"Ziggo60CCB","70:18:8b:9c:32:db",-85
1402409087177,"chmwidor","98:fc:11:6f:06:8a",-88
1402409087177,"StLucia","b8:62:1f:50:f9:46",-89
1402409087177,"Biomineral","08:96:d7:30:55:10",-90
1402409087177,"Westdijk Web","00:0c:f6:a0:b8:4c",-85
1402409087189,"HG655D-8561AB","82:b6:86:85:61:a8",-92
1402409087190,"utrecht3515-2","00:25:9c:4d:02:50",-67
1402409087190,"Online gast","ba:8d:12:62:61:46",-87
1402409087202,"CORRYHENK","00:18:f6:ec:07:28",-90
1402409087202,"Mineel","5c:96:9d:66:3e:31",-90
1402409087202,"ARJANHUIJZER-PC_Network","c4:3d:c7:91:0d:70",-95
1402409088222,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:58",-53
1402409088223,"utrecht3515","84:9c:a6:63:e0:86",-73
1402409088269,"SpeedTouch367917","00:18:f6:67:52:c6",-60
1402409088269,"Vlinder","84:9c:a6:b4:da:52",-84
1402409088270,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:59",-70
1402409088291,"Mr-Brown","7a:cb:a8:62:76:bc",-87
1402409088291,"ARJANHUIJZER-PC_Network-2.4G","c4:3d:c7:91:0d:6e",-87
1402409088291,"Duvel","e8:40:f2:94:28:db",-79
1402409088304,"FRITZ!Box Fon WLAN 7360","c0:25:06:5a:ed:46",-84
1402409088304,"Tele2modem-internet","00:23:54:85:fd:ca",-90
1402409088304,"FRITZ!Box Guest Access","c6:25:06:5a:ed:46",-86
1402409088316,"SitecomA1834C","00:0c:f6:a1:83:4c",-79
1402409088316,"Zy_private_E4XHWM","fc:f5:28:92:d1:cc",-84
1402409088317,"starthere","e0:91:f5:57:be:9e",-90
1402409088329,"Ziggo","72:18:8b:9c:32:dc",-87
1402409088329,"Ziggo60CCB","70:18:8b:9c:32:db",-85
1402409088329,"StLucia","b8:62:1f:50:f9:46",-88
1402409088342,"Biomineral","08:96:d7:30:55:10",-90
1402409088342,"Westdijk Web","00:0c:f6:a0:b8:4c",-85
1402409088354,"HG655D-8561AB","82:b6:86:85:61:a8",-90
1402409088355,"utrecht3515-2","00:25:9c:4d:02:50",-67
1402409088355,"Online gast","ba:8d:12:62:61:46",-87
1402409088355,"CORRYHENK","00:18:f6:ec:07:28",-90
1402409088368,"Mineel","5c:96:9d:66:3e:31",-90
1402409088368,"ARJANHUIJZER-PC_Network","c4:3d:c7:91:0d:70",-93
1402409088368,"FRITZ!Box Fon WLAN 7340","bc:05:43:6f:ca:ae",-87
1402409088382,"tom hart","00:25:86:c6:0d:04",-90
1402409089391,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:58",-51
1402409089404,"utrecht3515","84:9c:a6:63:e0:86",-73
1402409089404,"SpeedTouch367917","00:18:f6:67:52:c6",-62
1402409089417,"Vlinder","84:9c:a6:b4:da:52",-80
1402409089417,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:59",-64
1402409089417,"Mr-Brown","7a:cb:a8:62:76:bc",-86
1402409089417,"ARJANHUIJZER-PC_Network-2.4G","c4:3d:c7:91:0d:6e",-85
1402409089430,"Duvel","e8:40:f2:94:28:db",-82
1402409089430,"FRITZ!Box Fon WLAN 7360","c0:25:06:5a:ed:46",-84
1402409089442,"Tele2modem-internet","00:23:54:85:fd:ca",-87
1402409089442,"FRITZ!Box Guest Access","c6:25:06:5a:ed:46",-83
1402409089442,"SitecomA1834C","00:0c:f6:a1:83:4c",-79
1402409089454,"Zy_private_E4XHWM","fc:f5:28:92:d1:cc",-85
1402409089454,"starthere","e0:91:f5:57:be:9e",-90
1402409089455,"StLucia","b8:62:1f:50:f9:46",-88
1402409089466,"Biomineral","08:96:d7:30:55:10",-90
1402409089467,"Westdijk Web","00:0c:f6:a0:b8:4c",-85
1402409089467,"HG655D-8561AB","82:b6:86:85:61:a8",-90
1402409089479,"utrecht3515-2","00:25:9c:4d:02:50",-67
1402409089479,"Online gast","ba:8d:12:62:61:46",-87
1402409089479,"CORRYHENK","00:18:f6:ec:07:28",-90
1402409089491,"Mineel","5c:96:9d:66:3e:31",-90
1402409089491,"ARJANHUIJZER-PC_Network","c4:3d:c7:91:0d:70",-95
1402409089491,"FRITZ!Box Fon WLAN 7340","bc:05:43:6f:ca:ae",-87
1402409089512,"tom hart","00:25:86:c6:0d:04",-90
1402409089513,"Ziggo","ea:40:f2:94:28:dc",-82
1402409089544,"H220N8068C4","fc:c8:97:80:68:c4",-84
1402409089544,"Zy_private_CEXC","fc:f5:28:bd:5a:b4",-88
1402409089545,"","00:10:c6:39:97:13",-90
1402409090591,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:58",-51
1402409090630,"utrecht3515","84:9c:a6:63:e0:86",-73
1402409090630,"SpeedTouch367917","00:18:f6:67:52:c6",-62
1402409090630,"Vlinder","84:9c:a6:b4:da:52",-82
1402409090643,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:59",-66
1402409090643,"Mr-Brown","7a:cb:a8:62:76:bc",-86
1402409090656,"ARJANHUIJZER-PC_Network-2.4G","c4:3d:c7:91:0d:6e",-83
1402409090656,"Duvel","e8:40:f2:94:28:db",-82
1402409090669,"FRITZ!Box Fon WLAN 7360","c0:25:06:5a:ed:46",-84
1402409090669,"Tele2modem-internet","00:23:54:85:fd:ca",-87
1402409090681,"FRITZ!Box Guest Access","c6:25:06:5a:ed:46",-83
1402409090681,"SitecomA1834C","00:0c:f6:a1:83:4c",-79
1402409090682,"Zy_private_E4XHWM","fc:f5:28:92:d1:cc",-84
1402409090694,"starthere","e0:91:f5:57:be:9e",-90
1402409090695,"StLucia","b8:62:1f:50:f9:46",-88
1402409090708,"Westdijk Web","00:0c:f6:a0:b8:4c",-85
1402409090708,"HG655D-8561AB","82:b6:86:85:61:a8",-90
1402409090721,"utrecht3515-2","00:25:9c:4d:02:50",-67
1402409090722,"Online gast","ba:8d:12:62:61:46",-87
1402409090735,"CORRYHENK","00:18:f6:ec:07:28",-84
1402409090735,"Mineel","5c:96:9d:66:3e:31",-90
1402409090748,"ARJANHUIJZER-PC_Network","c4:3d:c7:91:0d:70",-95
1402409090748,"FRITZ!Box Fon WLAN 7340","bc:05:43:6f:ca:ae",-87
1402409090760,"tom hart","00:25:86:c6:0d:04",-90
1402409090760,"Ziggo","ea:40:f2:94:28:dc",-82
1402409090785,"H220N8068C4","fc:c8:97:80:68:c4",-84
1402409090786,"Zy_private_CEXC","fc:f5:28:bd:5a:b4",-88
1402409090808,"","00:10:c6:39:97:13",-90
1402409090808,"Sitecom4C0AF6","00:0c:f6:4c:0a:f6",-86
1402409090820,"FRITZ!Box Fon WLAN 7360","9c:c7:a6:47:c8:12",-87
1402409090820,"TP-LINK_9F58A2","10:fe:ed:9f:58:a2",-91
1402409091847,"Wi-Fi-netwerk van R. Kaasenbrood","90:72:40:14:54:58",-52
1402409091849,"utrecht3515","84:9c:a6:63:e0:86",-73
1402409091884,"SpeedTouch367917","00:18:f6:67:52:c6",-58
